lang,query,url,title,error,desktop_error,author,author_error,group_author,group_author_error,message,case_date
be,Шарлеруа,https://vk.com/video-141682278_456248075,"Зюлте-Варегем - Шарлеруа 0:1 Про-лига, видео гола Анасса Зарури",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456249183,"«Андерлехт» — «Шарлеруа». — 4:0. Про-лига. Обзор матча, видео всех голов",Video sound unavailable.,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456248864,Генк — Шарлеруа. Про-лига. 19 тур,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456245822,«Шарлеруа» — «Антверпен». Обзор матча,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456250125,"«Шарлеруа» — «Ауд-Хеверлеет» — 0:1. Про-лига. Обзор матча, видео гола",Video sound unavailable.,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456249664,"«Андерлехт» — «Шарлеруа» —0-1. Про-лига. Обзор матча, видео гола",Video sound unavailable.,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456246538,"Андерлехт - Шарлеруа - 3:0. Про Лига. Обзор матча, все голы",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456248781,Шарлеруа — Андерлехт. Про-лига. 16 тур,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456246374,"Сент-Трюйден - Шарлеруа - 1-2. Про Лига. Обзор матча, все голы",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456250217,"«Стандард» — «Шарлеруа» — 3:1. Про-лига. Обзор матча, видео всех голов",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456248338,"Шарлеруа — Брюгге — 0:1. Про-лига, видео гола Шарля Де Кетелара",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456248925,Шарлеруа — Гент. Про-лига. 23 тур,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Шарлеруа,https://vk.com/video-141682278_456248333,Шарлеруа — Брюгге. Про-лига. 8 тур,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/telesport,"",,
be,Зальцах,https://vk.com/video-207473513_456239997,Ивик вон Зальца: Маленький лесоруб. Сезон 1. Серия 32,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/public207473513,"",,
be,Зальцах,https://vk.com/video-207473513_456240004,Ивик вон Зальца: Маленький лесоруб. Сезон 1. Серия 49,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/public207473513,"",,
be,Зальцах,https://vk.com/video-207473513_456240011,Ивик вон Зальца: Маленький лесоруб. Сезон 1. Серия 46,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/public207473513,"",,
be,Зальцах,https://vk.com/video-207473513_456239999,Ивик вон Зальца: Маленький лесоруб. Сезон 1. Серия 26,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/public207473513,"",,
be,Зальцах,https://vk.com/video-207473513_456239987,Ивик вон Зальца: Маленький лесоруб. Сезон 1. Серия 20,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/public207473513,"",,
be,Зальцах,https://vk.com/video-207473513_456239978,Ивик вон Зальца: Маленький лесоруб. Сезон 1. Серия 22,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/public207473513,"",,
